IMU-X,IMU-Y,IMU-Z, ADXL-X,ADXL-Y,ADXL-Z
14.01, -5.82, 5.28, 9.26, -3.69, -8.63
5.82, 2.28, 8.88, 8.71, -4.24, -7.53
6.69, 1.19, 6.88, 8.63, -2.90, -6.67
6.65, 2.17, 7.88, 9.10, -2.90, -6.43
6.06, 2.09, 7.98, 8.39, -2.43, -5.81
6.03, 2.09, 8.30, 8.87, -1.73, -6.04
5.96, 1.81, 8.35, 8.55, -2.51, -5.33
6.06, 1.74, 8.09, 8.55, -2.59, -5.65
6.25, 1.67, 8.09, 9.02, -3.14, -6.28
6.39, 1.53, 8.05, 8.79, -2.82, -5.57
6.25, 1.43, 7.81, 8.71, -2.67, -5.81
6.23, 1.24, 7.87, 8.63, -2.51, -5.96
6.15, 1.50, 7.92, 8.08, -2.28, -6.90
5.83, 1.88, 7.96, 7.92, -1.33, -6.12
5.71, 2.14, 8.04, 7.77, -1.65, -6.20
5.56, 2.49, 7.91, 7.53, -1.49, -7.30
5.46, 2.58, 7.72, 7.85, -1.96, -6.51
5.66, 2.36, 7.52, 8.47, -2.51, -6.59
5.83, 2.00, 7.29, 8.39, -2.59, -7.30
5.98, 1.67, 7.12, 7.85, -2.28, -6.43
5.69, 2.16, 7.08, 8.00, -1.88, -6.04
5.59, 2.29, 7.17, 7.92, -2.43, -5.81
5.54, 2.03, 7.05, 7.92, -2.90, -6.04
5.36, 1.62, 6.76, 7.53, -3.37, -5.81
5.44, 1.21, 6.92, 7.06, -2.51, -4.71
5.29, 1.20, 7.32, 7.77, -2.51, -3.77
5.29, 1.14, 7.71, 7.53, -2.82, -4.39
5.39, 1.44, 7.98, 7.30, -3.53, -4.39
5.24, 1.83, 8.20, 7.77, -3.14, -4.63
5.45, 2.40, 8.70, 7.45, -2.51, -3.77
5.40, 2.55, 8.87, 7.69, -2.82, -3.84
5.61, 2.22, 8.59, 7.77, -3.77, -4.86
5.73, 1.88, 8.03, 8.39, -4.00, -5.57
5.96, 1.65, 7.59, 8.24, -4.24, -5.33
6.35, 1.59, 7.46, 8.71, -3.53, -6.28
6.03, 1.16, 7.31, 8.94, -4.71, -5.96
5.95, 0.73, 7.25, 8.39, -4.79, -5.73
6.00, 0.88, 7.44, 8.47, -3.61, -5.96
6.07, 1.48, 7.45, 8.00, -3.30, -6.59
6.13, 1.87, 7.64, 8.24, -4.16, -7.22
5.99, 1.82, 7.64, 8.79, -3.92, -6.67
6.15, 2.11, 8.04, 8.79, -4.47, -6.35
6.33, 2.08, 8.12, 8.94, -4.71, -7.69
6.23, 1.88, 7.70, 9.26, -4.16, -7.61
6.49, 1.75, 7.50, 9.49, -3.61, -6.59
6.77, 1.71, 7.76, 9.18, -3.30, -6.90
6.90, 1.67, 7.87, 9.34, -2.59, -7.45
6.75, 1.55, 7.82, 9.26, -2.67, -6.90
6.94, 1.29, 7.66, 9.41, -2.59, -8.00
6.95, 1.40, 7.81, 9.65, -2.43, -7.53
6.85, 1.90, 8.09, 9.49, -2.51, -7.45
6.74, 2.39, 8.57, 9.73, -2.90, -6.90
6.95, 2.51, 8.81, 9.73, -3.53, -6.83
7.13, 1.63, 8.75, 9.89, -4.00, -6.67
7.15, 1.49, 8.56, 9.96, -3.22, -6.04
7.34, 1.81, 8.58, 9.73, -1.96, -6.12
7.65, 2.17, 8.62, 10.36, -1.96, -5.10
7.76, 2.00, 8.30, 10.59, -3.06, -6.67
7.74, 1.62, 7.65, 10.04, -2.98, -160.67
10.80, -28.95, -0.35, -0.78, -0.16, -3.45
60.22, 9.71, 12.82, -17.97, 17.18, 36.32
1.26, -10.64, -18.50, 16.16, -13.81, -65.67
28.21, -5.75, 8.04, 8.08, -9.10, -8.32
3.90, 8.33, 14.31, 11.38, -3.06, 1.73
9.56, -0.33, 7.52, 7.69, -1.26, -2.51
6.26, 2.77, 9.89, 7.61, -2.82, -5.41
6.04, 1.39, 7.07, 9.73, -2.59, -3.45
7.35, 1.66, 8.22, 8.87, -1.26, -2.28
7.23, 1.99, 8.48, 39.62, -55.31, -61.35
-14.43, 4.96, 0.65, 13.89, -15.22, 4.08
-0.79, 6.94, 1.91, 18.20, 10.28, -49.03
6.80, 12.15, 7.96, 9.65, -22.91, -30.60
6.36, 1.37, 8.31, 9.41, 1.49, -5.65
8.10, 1.88, 8.21, 14.36, -6.59, -5.65
5.97, 1.13, 8.49, 8.00, -3.22, -4.55
6.26, 0.01, 16.13, 9.41, -1.18, -4.39
