Samples, IMU-X,IMU-Y,IMU-Z,IMU Magnitude, ADXL-X,ADXL-Y,ADXL-Z,ADXL Magnitude
1, 5.97, 8.06, 6.07, 10.09, 8.08, -4.39, -10.36, 11.25
2, 6.44, 0.88, 7.69, 7.74, 8.79, -4.71, -6.98, 8.42
3, 6.39, 2.09, 7.04, 7.34, 8.08, -5.96, -5.33, 8.00
4, 5.88, 2.01, 7.72, 7.98, 7.53, -8.24, -7.37, 11.06
5, 6.59, 0.83, 7.38, 7.43, 9.41, -7.37, -9.41, 11.96
6, 6.48, 1.48, 7.50, 7.65, 8.32, -8.79, -2.59, 9.16
7, 6.58, 1.04, 8.99, 9.05, 9.49, -8.87, -8.16, 12.05
8, 5.93, 1.49, 8.53, 8.66, 8.16, -9.34, -1.73, 9.49
9, 6.62, 1.52, 8.35, 8.49, 8.71, -9.89, -3.14, 10.37
10, 7.59, 2.20, 6.03, 6.42, 9.89, -7.85, -12.40, 14.67
11, 7.27, -1.27, 7.91, 8.01, 10.59, -9.89, -4.94, 11.05
12, 7.13, -1.24, 8.77, 8.86, 9.81, -15.77, -1.02, 15.80
13, 6.37, 2.68, 11.36, 11.67, 9.10, -5.65, 3.37, 6.58
14, 7.30, 5.98, 5.90, 8.40, 11.77, -10.83, -9.41, 14.35
15, 6.82, 0.61, 9.92, 9.94, 7.53, -15.06, 20.40, 25.36
16, 7.61, -0.63, 11.33, 11.35, 13.73, -5.18, -22.99, 23.56
17, 6.16, 2.55, 6.81, 7.27, 7.53, -7.37, 4.39, 8.58
18, 6.29, 1.39, 9.66, 9.76, 13.02, -11.38, -9.73, 14.97
19, 8.37, 4.45, 0.67, 4.50, 11.69, -9.41, -9.65, 13.48
20, 8.34, 3.35, 7.72, 8.42, 11.92, -3.30, -6.12, 6.95
21, 7.17, -1.57, 13.29, 13.38, 9.96, 1.33, 6.59, 6.72
22, 6.25, 5.74, 1.64, 5.97, 12.94, -11.85, -10.98, 16.15
23, 5.98, 4.17, 7.08, 8.21, 9.73, -11.22, 17.02, 20.39
24, 6.94, 1.45, 13.75, 13.82, 18.67, -10.12, -36.09, 37.48
25, 3.05, 8.76, -9.51, 12.93, 9.73, -9.41, -8.87, 12.93
26, 6.01, 6.60, 3.88, 7.65, 12.16, -10.12, -9.49, 13.88
27, 6.82, 6.59, -0.69, 6.63, 13.65, -17.57, -2.98, 17.82
28, 9.95, -2.44, 3.83, 4.54, 10.90, -6.83, 12.63, 14.36
29, 11.25, -7.11, 9.05, 11.51, 16.79, -12.32, -11.38, 16.77
30, 7.25, 2.96, 2.91, 4.15, 9.96, -6.59, 13.26, 14.81
31, 7.61, -5.10, 10.75, 11.90, 14.59, -12.32, -22.59, 25.73
32, 5.05, 1.79, 3.90, 4.29, 9.89, -6.67, 14.28, 15.76
33, 4.84, 4.88, 1.88, 5.23, 18.99, 7.30, -12.24, 14.25
34, 5.49, 12.66, -6.72, 14.33, 7.69, 2.43, 9.89, 10.18
35, 5.87, 3.34, 9.35, 9.93, 18.12, -13.57, -1.88, 13.70
36, 10.62, -3.58, 4.34, 5.63, 16.95, -8.71, -5.18, 10.13
37, 8.55, -3.70, 12.53, 13.07, 11.61, -5.10, 14.04, 14.94
38, 8.85, 6.73, 4.37, 8.02, 13.57, 4.39, -8.32, 9.41
39, 8.44, 6.26, 0.19, 6.27, 12.79, 18.44, 15.93, 24.36
40, 8.05, 4.60, 16.24, 16.88, 14.91, 9.34, 19.69, 21.79
41, 7.14, 2.65, 9.87, 10.22, 14.36, 3.14, -0.94, 3.28
42, 7.06, 16.72, 7.05, 18.15, 8.32, -5.73, 19.22, 20.06
43, 7.27, 1.99, 12.38, 12.54, 13.65, -11.69, 11.38, 16.31
44, 8.56, 0.15, 8.26, 8.26, 11.38, 0.94, 19.06, 19.09
45, 8.10, 3.15, 4.91, 5.84, 19.22, -1.41, -29.81, 29.85
46, 7.32, 2.24, 9.92, 10.17, 10.59, -6.04, 18.91, 19.85
47, 6.32, 6.25, 10.26, 12.01, 18.28, -7.06, -5.73, 9.09
48, 6.95, 6.81, -7.59, 10.20, 14.59, 6.20, -24.56, 25.33
49, 6.94, 2.26, 14.72, 14.89, 15.61, 12.87, 9.02, 15.71
50, 5.11, 6.18, 9.49, 11.32, 8.63, 3.06, 14.83, 15.14
51, 6.82, 12.22, 4.19, 12.92, 7.45, -10.04, -12.55, 16.08
52, 7.67, 8.51, -1.64, 8.67, 9.96, 4.31, 13.49, 14.17
53, 5.86, 3.56, 10.98, 11.54, 14.75, 10.36, -13.89, 17.32
54, 7.34, 4.78, 3.26, 5.78, 16.79, -1.65, -4.39, 4.69
55, 8.50, 1.62, 6.74, 6.93, 9.89, -1.57, 17.02, 17.10
56, 8.19, -2.63, 14.49, 14.72, 18.67, -1.96, -15.69, 15.81
57, 9.17, -12.19, 1.58, 12.29, 10.67, 5.26, 4.39, 6.85
58, 9.14, -1.23, 10.79, 10.86, 8.79, 3.37, 13.49, 13.91
59, 7.09, 1.26, 10.15, 10.22, 12.47, 0.63, -6.12, 6.15
60, 10.38, 3.90, 10.92, 11.60, 13.02, 6.75, 7.53, 10.11
61, 10.26, -4.75, 10.62, 11.63, 11.30, -5.57, 2.20, 5.99
62, 5.67, 5.49, 14.24, 15.27, 13.89, 13.81, 10.67, 17.45
63, 7.84, 4.24, 5.93, 7.29, 17.89, 6.20, -16.63, 17.75
64, 8.28, 0.85, 1.52, 1.74, 16.48, -17.97, -16.63, 24.48
65, 8.30, 1.18, 5.08, 5.22, 13.10, -3.14, -11.45, 11.88
66, 8.51, -7.82, 10.65, 13.22, 11.14, 19.46, -7.06, 20.70
67, 9.50, 0.94, 4.55, 4.64, 18.83, -6.98, -14.67, 16.25
68, 9.20, -2.74, 5.29, 5.96, 8.71, 12.40, 3.61, 12.91
69, 7.48, 5.38, 15.04, 15.97, 10.90, 9.49, -9.18, 13.20
70, 7.01, -0.53, 4.32, 4.35, 9.02, 8.63, -3.84, 9.45
71, 7.68, 1.06, 9.64, 9.70, 11.92, 3.06, -8.71, 9.23
72, 6.89, -3.28, 4.92, 5.91, 8.87, 8.79, -14.83, 17.24
73, 5.68, 2.35, 8.96, 9.26, 8.47, 10.59, -4.00, 11.32
74, 8.27, 1.34, 4.14, 4.35, 12.79, 5.10, -16.55, 17.32
75, 6.37, 1.94, 8.95, 9.15, 10.28, 9.02, -8.16, 12.16
76, 5.36, 1.72, 8.09, 8.27, 8.71, 13.89, -7.37, 15.72
77, 9.64, 0.43, 4.52, 4.54, 9.26, 3.22, -7.45, 8.12
78, 7.64, 3.58, 13.15, 13.63, 8.16, 19.46, -2.90, 19.67
79, 8.23, 11.45, 2.61, 11.74, 11.06, -1.88, -22.36, 22.44
80, 4.31, 3.80, 9.68, 10.40, 9.02, 10.59, -11.06, 15.31
81, 8.33, -2.67, 12.26, 12.54, 9.26, -0.39, -21.42, 21.42
82, 6.04, -1.57, 3.76, 4.07, 9.96, 4.31, -12.32, 13.05
83, 6.65, 1.60, 10.36, 10.48, 9.89, 5.57, -11.38, 12.67
84, 5.67, -0.27, 7.93, 7.93, 9.73, 4.79, -14.12, 14.91
85, 6.74, 0.89, 9.45, 9.50, 9.18, 4.39, -11.69, 12.49
86, 10.45, 5.52, 8.88, 10.45, 10.83, 4.39, -12.55, 13.30
87, 6.11, 2.29, 7.84, 8.17, 10.36, 5.96, -12.47, 13.83
88, 6.66, 2.41, 7.73, 8.10, 10.75, 2.67, -12.79, 13.06
89, 6.48, -0.10, 7.40, 7.40, 10.51, 2.75, -12.55, 12.85
90, 6.96, 0.20, 7.78, 7.79, 9.02, 9.65, -7.30, 12.10
91, 7.34, 3.32, 9.26, 9.84, 10.51, -1.26, -18.04, 18.09
92, 7.64, -0.20, 6.84, 6.84, 10.04, 2.20, -9.18, 9.44
93, 5.85, 3.22, 10.16, 10.66, 7.85, 5.18, -6.67, 8.44
94, 7.29, -1.12, 6.48, 6.58, 10.43, 2.12, -20.48, 20.59
95, 6.92, 4.18, 8.97, 9.90, 9.96, 16.40, -10.28, 19.35
96, 6.79, 2.62, 7.90, 8.32, 11.92, -4.94, -18.12, 18.78
97, 8.27, -5.12, 1.01, 5.22, 9.34, 14.20, -12.87, 19.16
98, 8.86, 3.14, 18.54, 18.80, 9.18, 9.73, -3.84, 10.46
