IMU-X,IMU-Y,IMU-Z, ADXL-X,ADXL-Y,ADXL-Z
11.42, -5.00, 9.86, 9.02, -1.88, -9.18
4.84, 2.07, 9.59, 7.85, -0.78, -6.98
6.25, -0.73, 7.59, 8.79, 0.31, -7.14
5.91, 0.27, 8.67, 8.24, -0.63, -5.65
5.80, 0.07, 8.42, 8.39, -0.24, -6.59
5.73, -0.18, 8.72, 8.00, -0.55, -6.98
6.02, -0.01, 8.67, 8.32, -1.10, -5.96
6.35, -0.04, 8.72, 8.16, -1.26, -6.98
6.37, 0.10, 8.39, 8.94, -1.57, -6.51
6.15, -0.22, 7.82, 8.55, -1.18, -6.59
6.16, -0.06, 7.73, 8.79, -0.94, -5.96
6.05, 0.07, 8.03, 7.85, -0.47, -5.41
5.88, 0.07, 8.47, 7.85, 0.00, -5.57
5.88, -0.21, 8.13, 8.16, -0.55, -6.75
5.81, -0.35, 7.79, 8.08, -0.71, -5.33
5.94, -0.62, 8.15, 8.32, -1.18, -5.96
6.22, -0.89, 8.73, 8.16, -2.12, -5.81
6.36, -0.81, 8.52, 9.26, -2.28, -6.51
6.54, -0.52, 8.34, 8.87, -1.49, -5.81
6.41, -0.28, 8.58, 8.63, -1.33, -5.33
6.38, 0.02, 8.29, 8.79, 0.24, -4.94
6.17, 0.43, 8.12, 8.16, 0.31, -6.51
6.15, 0.50, 7.97, 8.39, 0.47, -5.96
6.18, 0.45, 7.56, 8.79, -0.63, -6.90
6.21, 0.11, 6.92, 8.87, -0.78, -6.04
6.22, -0.62, 6.52, 8.63, -1.33, -6.43
6.32, -0.80, 6.79, 8.55, -1.18, -4.86
6.60, -0.72, 7.31, 8.55, -1.18, -4.71
6.59, -0.70, 7.78, 8.79, -1.57, -4.00
6.40, -0.36, 8.11, 8.94, -1.02, -3.84
6.45, -0.15, 8.21, 8.47, -1.49, -3.14
6.31, 0.05, 8.27, 8.55, -2.43, -3.53
6.48, 0.32, 7.85, 8.94, -42.29, -16.48
-2.91, 5.36, 52.75, 12.32, -0.78, 7.06
5.85, 2.28, 7.03, 9.89, -7.69, -10.75
3.68, -0.67, 14.64, 9.34, 3.61, -8.32
7.60, 2.23, 0.64, 10.12, -4.08, -3.37
4.66, -3.20, 8.50, 7.92, -3.14, -2.20
7.96, 1.16, 6.60, 8.71, -4.94, -7.30
6.38, -3.36, 2.62, 9.65, -5.49, -12.47
6.85, -2.32, 3.62, 10.04, -2.28, -5.02
7.27, -1.28, 8.37, 8.24, -2.75, -8.24
6.38, 0.54, 9.23, 9.49, -2.35, -6.98
7.34, -1.19, 9.85, 7.30, -0.24, -5.81
7.15, 0.39, 8.83, 5.81, -3.45, -6.59
6.80, -1.20, 11.35, 8.94, 0.71, -11.53
6.14, -0.28, 7.72, 6.59, -7.22, -1.33
6.78, -2.90, 7.69, 9.34, -1.65, -5.33
7.58, 0.91, 9.11, 9.49, -1.02, -7.53
7.21, 0.78, 4.70, 6.59, -5.18, 1.49
6.31, -0.86, 6.05, 4.08, -2.28, -12.71
6.44, 1.07, 8.40, 8.08, -3.45, -7.37
7.18, -0.50, 8.09, 9.10, -0.94, -5.65
6.43, -1.44, 6.72, 8.39, -3.92, -5.49
3.76, -0.52, 8.96, 6.20, -3.92, -8.79
8.90, -1.94, 0.42, 10.98, -5.41, -7.77
