IMU-X,IMU-Y,IMU-Z, ADXL-X,ADXL-Y,ADXL-Z
5.84, 3.37, 10.60, 7.53, -2.98, -8.24
4.62, 1.31, 9.31, 6.98, -3.45, -8.71
5.14, 0.48, 7.41, 7.45, -3.45, -8.08
5.23, 1.12, 8.51, 7.85, -2.98, -6.98
5.13, 0.96, 8.47, 7.45, -3.22, -7.85
4.91, 1.45, 8.68, 7.37, -2.04, -7.92
4.91, 1.63, 9.11, 7.06, -1.10, -6.20
4.40, 2.25, 9.37, 6.12, -0.47, -6.12
4.51, 2.14, 9.39, 6.75, -1.41, -6.43
4.39, 1.59, 8.94, 6.59, -3.53, -7.53
4.67, 0.62, 8.40, 7.30, -4.08, -6.98
4.99, 0.29, 8.74, 7.22, -3.92, -7.30
4.85, 0.50, 9.07, 7.69, -3.22, -6.90
5.07, 0.33, 8.84, 7.53, -2.75, -6.59
4.81, 0.96, 8.54, 7.45, -1.26, -7.61
4.77, 1.33, 8.75, 7.22, 0.00, -7.85
4.50, 1.73, 9.25, 7.14, 0.00, -7.37
4.60, 1.70, 8.83, 7.92, -0.78, -8.32
4.85, 1.45, 8.25, 7.77, -1.26, -9.18
4.85, 1.34, 8.09, 8.00, -2.35, -7.92
5.19, 1.07, 8.80, 8.16, -2.67, -7.06
5.16, 1.00, 8.66, 7.77, -2.82, -7.85
5.32, 0.63, 8.37, 7.77, -2.04, -8.39
5.14, 0.94, 8.40, 7.45, -1.57, -8.16
4.94, 1.10, 8.56, 7.53, -0.31, -6.83
4.87, 1.27, 8.62, 7.53, -0.71, -7.45
5.34, 1.02, 8.50, 8.00, -2.28, -8.08
5.37, 0.55, 8.23, 8.16, -2.51, -9.49
5.65, 0.30, 8.26, 8.94, -2.51, -8.00
5.88, 0.45, 8.76, 8.16, -2.04, -7.53
5.69, 0.81, 8.96, 8.39, -2.20, -8.32
5.67, 0.90, 8.66, 8.71, -1.80, -8.08
5.47, 1.02, 8.60, 8.24, -1.18, -8.16
5.32, 1.29, 8.94, 7.85, -0.71, -7.45
5.25, 1.89, 9.29, 8.39, -0.63, -7.53
5.69, 1.25, 8.75, 8.47, -3.53, -8.39
5.78, 0.12, 7.86, 9.34, -4.08, -9.10
6.26, -0.61, 7.68, 9.26, -3.14, -8.71
6.18, 0.10, 8.29, 8.55, -3.14, -7.61
6.05, 0.64, 8.19, 8.94, -2.59, -8.24
6.03, 0.56, 8.20, 9.02, -2.28, -8.08
5.83, 0.83, 8.29, 8.87, -1.96, -7.92
5.55, 1.21, 8.79, 8.16, -0.94, -7.37
5.51, 1.77, 9.01, 8.24, -1.49, -7.61
5.61, 1.44, 8.95, 8.24, -2.82, -7.14
5.74, 0.99, 8.75, 11.38, -52.72, -20.87
-10.86, -4.01, -14.54, 5.81, -4.63, 13.42
9.92, -8.94, 15.55, -25.42, -57.58, -17.97
-0.63, -5.33, 5.96, 11.30, -25.11, -23.69
3.04, 11.09, 10.09, 7.85, -2.28, -8.55
5.51, 0.96, 5.35, 8.87, -2.12, -4.39
5.98, -0.52, 9.01, 6.75, 1.02, -1.49
5.73, 1.51, 10.39, 7.77, -0.71, -4.24
5.47, 1.37, 8.30, -4.08, -3.53, 8.39
-2.26, 0.53, 14.16, 39.85, 2.51, 6.12
-3.73, -3.15, -6.21, 18.51, 7.22, 60.49
-1.96, 3.92, -8.84, 7.77, -3.30, 0.55
5.18, 5.92, 16.04, 0.00, 0.24, -6.43
0.79, 5.08, 13.59, 4.47, -15.46, 8.55
4.50, 5.89, 5.66, 36.87, 6.20, -0.94
1.15, -3.84, -2.28, 5.96, 10.36, 43.31
6.23, -10.07, -9.14, 19.30, 1.41, 10.12
6.11, 1.24, -5.88, 19.46, 9.18, 13.96
0.50, 0.54, -2.90, 28.09, -18.51, -14.67
-2.68, -2.26, 0.81, 21.26, -17.02, -15.06
-0.42, 2.58, 7.60, 16.63, -14.44, -56.96
4.13, 12.44, 11.41, 14.83, -3.92, -15.93
7.26, 0.48, 6.17, 5.41, -2.12, -5.02
1.07, 4.33, 2.34, 6.20, -4.71, -20.87
6.26, -1.58, 10.30, 6.04, -7.61, -3.06
8.41, 0.62, 6.70, 9.34, -3.84, -1.41
13.13, 0.10, 5.89, 16.24, -8.24, -14.20
3.26, -3.46, 8.18, 5.81, -3.61, 2.51
5.23, 1.45, 6.90, 4.39, -1.65, -2.75
10.07, 1.58, 5.15, 11.14, -7.22, -20.08
3.34, 0.53, 9.12, 6.83, -3.37, -4.00
6.50, 3.59, 12.97, 5.57, -5.02, 4.94
7.35, -0.54, 2.50, 14.12, 3.69, -26.28
9.22, 14.49, 3.46, 40.17, -15.22, -5.02
2.03, 1.73, 6.18, 8.63, -7.37, 15.30
2.77, 9.64, -0.62, 5.02, -24.56, -82.85
9.06, -15.68, 22.75, -3.30, -2.59, 32.71
12.26, -7.33, -0.06, 16.24, 2.51, 7.69
14.63, -5.44, -1.22, 4.08, 6.67, -46.68
7.22, -4.13, 10.66, 34.28, 8.32, -50.68
-4.50, 9.18, 19.51, 57.35, -11.38, -67.94
7.10, 6.99, 18.57, 8.39, 16.08, -90.53
1.29, 9.70, -2.15, 56.72, 74.69, -20.24
-6.38, 23.94, -23.06, 43.93, 32.87, -56.33
-9.05, 51.01, 5.04, -51.94, 14.75, 27.62
18.27, 0.86, 5.18, -1.18, 41.74, -21.50
-2.30, 24.73, 44.44, 1.57, 36.56, -7.30
6.15, 24.69, 63.55, 8.39, 2.67, 47.46
4.60, 17.48, -23.33, 3.92, 13.89, 7.22
-15.63, 15.89, 11.46, 3.22, 10.36, -43.23
13.70, -8.78, 13.17, 53.03, 148.98, -155.57
-8.71, -14.53, 34.02, 0.47, 11.45, 8.87
10.41, -18.79, -4.74, -4.71, -59.00, 45.90
8.13, 6.34, -27.46, 22.75, 54.60, -60.49
3.99, 2.28, 20.55, -37.81, 5.10, 44.56
21.57, -31.85, -68.69, -23.22, -95.32, -26.75
-8.07, -31.96, 13.50, -0.31, -7.61, -58.53
6.11, -28.23, 9.29, 27.62, 36.64, -86.22
-2.23, 48.06, 6.85, -22.20, 19.53, 54.13
29.32, -13.63, 9.44, 74.06, 106.77, 112.50
4.21, -22.22, 15.95, 18.20, -18.91, -55.15
2.38, 6.25, 44.03, 29.42, 1.33, -156.83
2.31, 40.26, 51.24, -33.73, -48.01, -68.96
7.25, 7.39, -3.06, 22.36, -4.47, 22.28
4.39, 17.45, 39.80, 3.22, 6.90, 71.47
5.20, -9.64, 28.75, 33.73, -73.28, -2.90
-5.93, -1.00, -29.02, -10.36, -26.99, 65.51
17.32, -38.16, 15.53, -13.65, -53.90, -120.50
17.17, 50.00, 22.60, 3.69, -7.37, 4.00
10.20, 2.17, 12.71, -21.18, -23.93, 26.99
19.62, 5.21, -21.93, 11.92, -97.52, -12.24
-1.02, 14.58, 61.77, 16.55, -9.89, 2.59
-1.27, -0.14, 76.64, 13.81, 11.53, -58.37
4.25, -34.40, 20.08, -13.34, 13.10, 47.70
16.50, -9.62, -12.27, -81.91, -87.95, 47.15
19.19, 38.75, -83.47, 12.87, 6.98, -12.63
-2.88, 0.14, 4.48, -45.19, -15.06, 65.19
10.42, 16.07, 30.31, -4.55, -10.20, 135.72
8.12, -21.57, 0.58, 5.02, -7.92, 53.74
2.08, 5.22, -23.29, -6.35, 33.81, 11.53
-7.52, -12.66, 44.54, 44.17, -9.18, -92.50
14.93, -84.19, 31.48, 6.12, -6.98, -18.51
8.02, -36.87, 30.98, 16.40, 5.33, 84.73
5.07, 2.72, 12.20, 1.02, -25.97, -32.64
9.00, -25.12, 39.71, 20.24, -7.45, -6.43
12.88, 10.97, -5.84, 8.63, 5.57, 23.93
7.65, -1.66, 1.04, -2.35, 98.93, -83.24
-13.10, 20.31, 69.15, 77.43, 9.41, 160.59
3.43, 15.97, -46.46, 6.98, 74.77, 10.75
15.19, -27.31, 23.16, -15.61, 11.22, -1.80
-2.98, 38.06, 39.40, 40.72, -11.85, 35.77
14.35, -42.05, 5.89, -14.51, -34.13, 57.11
14.66, -20.49, 18.36, -10.36, -2.51, 45.97
