VELO-X,VELO-Y,VELO-Z,DFT321
-0.09,-0.01,0.05,10.46836186
-0.11,-0.01,0.06,10.11689182
-0.11,-0.01,0.06,9.166291507
-0.11,-0.01,0.06,10.87527011
-0.11,-0.01,0.06,9.028078422
-0.11,-0.01,0.06,10.87338494
-0.11,-0.01,0.06,11.70053845
-0.11,-0.01,0.06,10.33817682
-0.11,-0.01,0.06,9.591256435
-0.11,-0.01,0.06,9.768879158
-0.11,-0.01,0.06,13.46150066
-0.11,-0.01,0.06,9.613500923
-0.13,-0.01,0.08,8.85867936
-0.13,-0.01,0.08,13.47038604
-0.13,-0.01,0.08,12.28900321
-0.13,-0.01,0.08,15.53879661
-0.13,-0.01,0.08,9.92315474
-0.15,-0.02,0.1,9.516244007
-0.15,-0.02,0.1,11.66913879
-0.15,-0.02,0.1,10.18898425
-0.15,-0.02,0.1,10.64163991
-0.15,-0.02,0.1,8.532215422
-0.15,-0.02,0.1,12.223866
-0.18,-0.02,0.12,10.90530605
-0.18,-0.02,0.12,10.70780089
-0.18,-0.02,0.12,11.94771108
-0.18,-0.02,0.12,7.618536605
-0.18,-0.02,0.12,14.27783597
-0.18,-0.02,0.12,7.492990057
-0.18,-0.02,0.12,8.880929005
-0.18,-0.02,0.12,15.48619062
-0.18,-0.02,0.12,8.915626731
-0.22,-0.02,0.15,9.335582467
-0.22,-0.02,0.15,14.38595843
-0.22,-0.02,0.15,20.07134525
-0.22,-0.02,0.15,11.76456969
-0.22,-0.02,0.15,13.50380687
-0.22,-0.02,0.15,13.01872882
-0.22,-0.02,0.15,9.348160247
-0.22,-0.02,0.15,9.368468391
-0.22,-0.02,0.15,18.1325922
-0.22,-0.02,0.15,12.31509643
-0.26,-0.02,0.19,10.94628247
-0.26,-0.02,0.19,16.81850766
-0.26,-0.02,0.19,19.54878257
-0.26,-0.02,0.19,6.158132834
-0.26,-0.02,0.19,8.266668011
-0.28,-0.02,0.2,19.32347277
-0.28,-0.02,0.2,23.93333449
-0.28,-0.02,0.2,8.533539711
-0.28,-0.02,0.2,14.69362447
-0.28,-0.02,0.2,26.67962893
-0.31,-0.02,0.24,25.01707217
-0.31,-0.02,0.24,18.22806079
-0.31,-0.02,0.24,89.52201238
-0.31,-0.02,0.24,28.93588084
-0.31,-0.02,0.24,11.58209394
-0.31,-0.02,0.24,36.5750229
-0.31,-0.02,0.24,29.52164968
-0.31,-0.02,0.24,20.8911297
-0.33,-0.01,0.26,18.02390912
-0.33,-0.01,0.26,20.61098008
-0.34,-0.01,0.27,16.43405306
-0.34,-0.01,0.27,12.5897776
-0.34,-0.01,0.27,9.639310141
-0.34,-0.01,0.27,8.490435796
-0.34,-0.01,0.27,7.475493295
-0.34,-0.01,0.27,7.364597749
-0.34,-0.01,0.27,7.283083138
-0.34,-0.01,0.27,8.533539711
-0.34,-0.01,0.27,9.494319354
-0.36,0.02,0.27,9.124368471
-0.36,0.02,0.27,9.726720927
-0.36,0.02,0.27,11.29304653
-0.4,0.02,0.31,12.85968895
-0.4,0.02,0.31,11.41038562
-0.4,0.02,0.31,13.5004074
-0.4,0.02,0.31,-57.02789318
-0.4,0.02,0.31,-10.55569041
-0.4,0.02,0.31,14.08341223
-0.4,0.02,0.31,13.87987392
-0.4,0.02,0.31,17.04359117
-0.4,0.02,0.31,9.353298883
-0.42,-0.01,0.38,12.55602246
-0.42,-0.01,0.38,28.50047543
-0.42,-0.01,0.38,18.53481859
-0.42,-0.01,0.38,17.70449943
-0.43,-0.04,0.44,11.62428923
-0.44,-0.04,0.47,7.995367409
-0.44,-0.04,0.47,18.87619665
-0.44,-0.04,0.47,-22.91767222
-0.44,-0.04,0.47,11.19029043
-0.44,-0.04,0.47,14.38759535
-0.44,-0.04,0.47,13.95653969
-0.44,-0.04,0.47,20.20434854
-0.44,-0.04,0.47,15.99891871
-0.44,-0.04,0.47,9.31277617
-0.44,-0.04,0.47,18.6271898
-0.44,-0.04,0.47,16.01176442
-0.44,-0.04,0.47,-43.35332744
-0.48,-0.02,0.53,26.57644446
-0.48,-0.02,0.53,14.29028341
-0.48,-0.02,0.53,20.5846399
-0.48,-0.02,0.53,9.92759286
-0.48,-0.02,0.53,53.37443864
-0.49,-0.01,0.55,19.64465831
-0.49,-0.01,0.55,7.729230233
-0.49,-0.01,0.55,13.83383172
-0.49,-0.01,0.55,117.1041033
-0.49,-0.01,0.55,61.30514171
-0.49,-0.01,0.55,17.04730771
-0.49,-0.01,0.55,26.98391002
-0.49,-0.01,0.55,18.46364265
-0.5,0.01,0.57,14.38617044
-0.5,0.01,0.57,17.93174002
-0.5,0.01,0.57,11.7623297
-0.5,0.01,0.57,8.726849374
-0.5,0.01,0.57,8.664669642
-0.5,0.01,0.57,9.280781217
-0.5,0.01,0.57,9.437393708
-0.5,0.01,0.57,8.529343468
-0.52,0.04,0.54,8.105331579
-0.52,0.04,0.54,8.532713519
-0.52,0.04,0.54,9.894372138
-0.52,0.04,0.54,9.342692331
-0.54,0.04,0.59,9.454173682
-0.55,0.01,0.64,9.367160722
-0.55,0.01,0.64,12.85109723
-0.55,0.01,0.64,160.1796448
-0.55,0.01,0.64,15.32602036
-0.55,0.01,0.64,-18.59213543
-0.55,0.01,0.64,13.16155766
-0.55,0.01,0.64,18.54668434
-0.55,0.01,0.64,35.62864157
-0.55,0.01,0.64,13.46872674
-0.55,0.01,0.64,9.765213771
-0.55,0.01,0.64,-21.55467699
-0.5,-0.05,0.72,16.7696929
-0.49,-0.06,0.74,15.01567847
-0.49,-0.06,0.74,11.24560803
-0.49,-0.06,0.74,22.11085932
-0.49,-0.06,0.74,38.36340053
-0.49,-0.06,0.74,25.57438758
-0.49,-0.06,0.74,-40.35283757
-0.49,-0.06,0.74,16.61125221
-0.49,-0.06,0.74,16.32133267
-0.49,-0.06,0.74,12.2161778
-0.49,-0.06,0.74,17.65709489
-0.49,-0.05,0.76,13.39000373
-0.5,-0.02,0.77,40.73866591
-0.5,-0.02,0.77,-27.94260188
-0.5,-0.02,0.77,18.49252281
-0.5,-0.02,0.77,-27.28581683
-0.5,-0.02,0.77,13.03967791
-0.51,0,0.78,22.82860048
-0.51,0,0.78,8.721450567
-0.51,0,0.78,15.32602036
