VELO-X,VELO-Y,VELO-Z,DFT321
-0.09,-0.01,0.05,15.624056084630727
-0.11,-0.01,0.06,10.412160840028854
-0.13,-0.01,0.08,12.01600399182056
-0.15,-0.02,0.10,10.462014728954259
-0.18,-0.02,0.12,10.692547445774181
-0.22,-0.02,0.15,13.124430879078957
-0.26,-0.02,0.19,12.34767471042184
-0.28,-0.02,0.20,18.632720075701624
-0.31,-0.02,0.24,32.53411529869168
-0.33,-0.01,0.26,19.31744460219181
-0.34,-0.01,0.27,9.700512204883132
-0.36,0.02,0.27,10.048045310625502
-0.40,0.02,0.31,2.7274527326030746
-0.42,-0.01,0.38,19.32395397691863
-0.43,-0.04,0.44,11.624289225582784
-0.44,-0.04,0.47,6.69083229389592
-0.48,-0.02,0.53,24.95067985464138
-0.49,-0.01,0.55,35.26397820058355
-0.50,0.01,0.57,11.089909696122081
-0.52,0.04,0.54,8.968777391748445
-0.54,0.04,0.59,9.454173681501732
-0.55,0.01,0.64,22.558903158269075
-0.50,-0.05,0.72,16.769692901183372
-0.49,-0.06,0.74,13.476295392830789
-0.49,-0.05,0.76,13.390003734129428
-0.50,-0.02,0.77,10.533568614767463
-0.51,0.00,0.78,9.82216591031048
-0.48,0.00,0.81,25.716481670199737
-0.46,0.00,0.83,-11.18782640201515
0.00,0.00,0.00,9.471819458180425
-0.40,0.00,0.89,5.992814667193146
-0.33,0.00,0.90,9.43648416245055
-0.32,0.00,0.90,-6.6231301200863415
-0.30,0.02,0.89,23.008914698129793
-0.29,0.03,0.88,8.113941377267203
-0.22,-0.01,0.91,17.636556207383762
-0.18,-0.01,0.91,12.235768877855902
-0.15,-0.02,0.90,14.023536632555809
-0.11,-0.01,0.90,11.47100187300153
-0.11,0.00,0.88,-4.516832522779972
-0.08,0.01,0.86,9.538339797115583
-0.06,0.01,0.84,6.127846277445282
0.00,0.00,0.82,12.591311171587309
0.03,0.00,0.79,5.517686639141257
0.05,0.01,0.76,12.49797507575039
0.06,0.02,0.74,3.037773206346386
0.08,0.01,0.72,13.528293199335309
0.10,0.00,0.70,7.655886098620586
0.12,0.00,0.67,26.870741010558174
0.12,0.01,0.63,-0.6523049713824509
0.12,0.02,0.61,13.936493436681445
0.13,0.01,0.58,16.65773452797721
0.14,0.00,0.56,27.72536897293688
0.15,0.00,0.53,26.071719066432635
0.14,0.00,0.46,11.36266322682717
0.12,0.00,0.42,5.170228347311157
0.12,0.00,0.40,18.123680641635683
0.11,-0.01,0.38,11.291469430697926
0.10,-0.01,0.35,-10.887952057205249
0.08,-0.01,0.31,0.03771420849734423
0.08,-0.02,0.29,20.17114065980847
0.07,-0.02,0.27,1.2668720302629668
0.06,-0.02,0.24,27.339001444822376
0.05,-0.01,0.21,9.245488267481507
0.03,-0.01,0.15,11.11712422260144
0.03,-0.01,0.12,10.864942297666742
0.02,-0.01,0.08,10.50151417653664
0.01,-0.01,0.06,10.949704245490661
-0.02,0.00,-0.02,11.18389535892636
-0.03,0.00,-0.10,8.249305310380203
-0.04,0.00,-0.14,12.399883063964756
-0.07,0.01,-0.22,2.6263968850952444
-0.07,0.01,-0.25,9.606409868333218
-0.08,0.01,-0.28,7.133415285488478
-0.08,0.01,-0.32,-22.05795368394355
-0.09,0.01,-0.36,11.680598392959734
-0.09,0.01,-0.39,0.2587348278492625
-0.09,0.01,-0.43,5.883231943505204
-0.08,0.00,-0.47,17.869982229898834
-0.07,-0.01,-0.50,-0.889002051517565
-0.07,-0.01,-0.57,13.14544344251552
-0.06,0.00,-0.62,11.055091886641856
-0.06,0.00,-0.66,40.93840721232713
-0.05,0.00,-0.68,10.55659059756752
-0.02,-0.02,-0.71,3.540893456383648
-0.02,-0.02,-0.73,12.688894971796898
-0.01,-0.01,-0.75,31.58226768709858
-0.01,0.00,-0.77,4.498326742994316
0.01,-0.01,-0.79,18.9275697004459
0.06,-0.02,-0.80,11.589145783878983
0.06,-0.02,-0.82,16.624656256322304
0.07,-0.01,-0.83,5.98506300469283
0.15,-0.03,-0.84,17.463416463888343
0.15,0.00,-0.87,15.328434362321547
0.19,0.00,-0.85,10.701885192901834
0.22,-0.01,-0.85,19.118003416700514
0.25,0.01,-0.85,16.796268458978375
0.26,0.01,-0.84,-11.410121369434687
0.30,0.02,-0.83,20.977005557427983
0.28,0.03,-0.82,3.297481225017103
0.42,-0.03,-0.79,11.045798181429468
0.42,-0.02,-0.78,13.274665371410947
0.39,0.00,-0.77,1.7390912763776576
0.43,0.01,-0.75,6.830253100605522
0.48,-0.01,-0.73,-4.137700092824387
0.48,0.00,-0.71,-17.606779811412345
0.47,0.02,-0.69,32.282287440269485
0.51,-0.01,-0.68,-1.1787379089402295
0.53,-0.01,-0.66,-22.77611651045647
0.52,0.02,-0.63,17.56149465229898
0.52,0.02,-0.62,2.2675287370146693
0.54,0.01,-0.59,45.13077897525929
0.54,0.01,-0.57,-23.941392029105003
0.49,0.04,-0.57,9.634865040035413
0.49,0.02,-0.54,63.78476784529442
0.52,-0.02,-0.50,17.870927836668624
0.54,-0.04,-0.42,10.645132526781897
0.52,0.00,-0.43,1.8521000002020516
0.51,0.00,-0.43,11.58308730187783
0.45,0.05,-0.45,9.611565591839444
0.45,0.01,-0.36,7.9380167439531295
0.46,-0.02,-0.32,12.7681087088104
0.47,-0.05,-0.27,12.251629899728568
0.46,-0.04,-0.26,20.04092193546988
0.42,-0.01,-0.27,0.864870827718686
0.40,0.00,-0.26,18.342900371401804
0.38,-0.01,-0.22,7.256597900653862
0.37,-0.01,-0.20,3.055290942016356
0.36,-0.02,-0.18,9.576387567582556
0.34,-0.01,-0.17,10.414285661189405
0.26,0.01,-0.14,14.674031648274692
0.21,0.00,-0.12,9.747814222458542
0.19,0.00,-0.11,11.698205243657803
0.17,0.00,-0.10,10.901765674390566
0.15,0.00,-0.09,10.649489292095263
0.01,0.01,0.00,11.446678301498993
-0.02,0.00,-0.01,10.289910813842672
-0.04,0.00,-0.01,10.355006150850114
-0.08,0.00,-0.01,10.44398786911196
-0.10,0.00,-0.01,10.089206487951936
-0.12,0.00,-0.01,13.360640792742975
-0.14,0.00,-0.02,2.9974093309458536
-0.17,0.00,-0.03,10.852873472595222
-0.18,0.00,-0.03,6.752585497359929
-0.20,0.01,-0.03,2.5539197138097323
-0.22,0.01,-0.04,0.004362136222365619
-0.24,0.00,-0.04,4.0548606516443755
-0.26,0.00,-0.05,18.035938989518506
-0.28,0.00,-0.06,6.188957268862533
-0.32,0.01,-0.07,6.359436232545409
-0.34,0.02,-0.07,8.440652542946513
-0.38,0.02,-0.08,9.360147020450446
-0.40,0.02,-0.09,-0.4984457007252372
-0.42,0.02,-0.09,-3.1072445703192937
-0.44,0.03,-0.09,12.321061785240957
-0.46,0.02,-0.11,7.445176115469243
-0.48,0.01,-0.13,25.2745352359092
-0.49,0.00,-0.15,3.7559011903079567
-0.50,0.00,-0.15,3.1516789655115525
-0.54,0.03,-0.16,8.169047143008958
-0.55,0.02,-0.19,-9.786536706565972
-0.57,0.01,-0.22,0.389256720867178
-0.59,0.01,-0.25,-0.8827499212735673
-0.61,0.02,-0.25,2.692129475984048
-0.62,0.01,-0.28,21.68516082485901
-0.63,0.00,-0.30,6.622655959609351
-0.63,-0.01,-0.34,-3.235545942958385
-0.65,0.02,-0.36,16.7393782388478
-0.66,0.03,-0.36,-3.8721760804638943
-0.67,0.02,-0.39,12.701960478603292
-0.66,0.01,-0.44,9.244246197020844
-0.66,0.01,-0.47,10.126283813367019
-0.67,0.01,-0.48,8.89069567211845
-0.67,0.03,-0.49,-0.49900431424829783
-0.66,0.02,-0.51,15.398078238097625
-0.64,0.01,-0.57,-12.599969032005314
-0.64,0.03,-0.57,18.162238551205014
-0.61,0.03,-0.61,15.709790404183368
-0.59,0.03,-0.64,-10.470629186811932
-0.61,0.05,-0.61,16.941759696066654
-0.57,0.03,-0.66,30.788644282426244
-0.54,0.01,-0.69,11.69573320985226
