ADXL-X,ADXL-Y,ADXL-Z,VELO-X,VELO-Y,VELO-Z,DFT321
8.88,0.61,5.51,-0.09,-0.01,0.05,10.46836186
7.65,3.67,5.51,-0.11,-0.01,0.06,10.11689182
7.65,1.22,4.9,-0.11,-0.01,0.06,9.166291507
7.65,4.29,6.43,-0.11,-0.01,0.06,10.87527011
7.65,2.14,4.29,-0.11,-0.01,0.06,9.028078422
7.96,0.92,7.35,-0.11,-0.01,0.06,10.87338494
8.57,-0.31,7.96,-0.11,-0.01,0.06,11.70053845
7.35,6.73,2.75,-0.11,-0.01,0.06,10.33817682
7.96,2.75,4.59,-0.11,-0.01,0.06,9.591256435
7.65,3.98,4.59,-0.11,-0.01,0.06,9.768879158
7.96,-3.98,10.1,-0.11,-0.01,0.06,13.46150066
7.35,3.37,5.2,-0.11,-0.01,0.06,9.613500923
7.35,4.59,1.84,-0.13,-0.01,0.08,8.85867936
7.65,1.22,11.02,-0.13,-0.01,0.08,13.47038604
7.96,1.84,9.18,-0.13,-0.01,0.08,12.28900321
8.26,-7.65,10.71,-0.13,-0.01,0.08,15.53879661
7.04,6.43,-2.75,-0.13,-0.01,0.08,9.92315474
7.96,3.98,3.37,-0.15,-0.02,0.1,9.516244007
7.96,2.14,8.26,-0.15,-0.02,0.1,11.66913879
7.65,0,6.73,-0.15,-0.02,0.1,10.18898425
8.26,2.75,6.12,-0.15,-0.02,0.1,10.64163991
7.35,0.61,4.29,-0.15,-0.02,0.1,8.532215422
8.88,-1.53,8.26,-0.15,-0.02,0.1,12.223866
7.96,2.45,7.04,-0.18,-0.02,0.12,10.90530605
6.73,7.96,-2.45,-0.18,-0.02,0.12,10.70780089
8.57,4.9,6.73,-0.18,-0.02,0.12,11.94771108
6.73,3.06,1.84,-0.18,-0.02,0.12,7.618536605
9.79,-2.45,10.1,-0.18,-0.02,0.12,14.27783597
6.73,3.06,1.22,-0.18,-0.02,0.12,7.492990057
7.04,3.67,3.98,-0.18,-0.02,0.12,8.880929005
8.88,-4.29,11.94,-0.18,-0.02,0.12,15.48619062
6.12,6.12,2.14,-0.18,-0.02,0.12,8.915626731
7.65,4.59,2.75,-0.22,-0.02,0.15,9.335582467
8.26,5.51,10.41,-0.22,-0.02,0.15,14.38595843
8.88,-13.47,11.94,-0.22,-0.02,0.15,20.07134525
7.35,-5.51,7.35,-0.22,-0.02,0.15,11.76456969
8.88,1.22,10.1,-0.22,-0.02,0.15,13.50380687
6.43,11.32,0,-0.22,-0.02,0.15,13.01872882
8.57,-2.14,3.06,-0.22,-0.02,0.15,9.348160247
7.35,-1.84,5.51,-0.22,-0.02,0.15,9.368468391
7.96,-1.53,16.22,-0.22,-0.02,0.15,18.1325922
8.88,8.26,-2.14,-0.22,-0.02,0.15,12.31509643
9.49,4.29,3.37,-0.26,-0.02,0.19,10.94628247
8.26,-2.75,14.39,-0.26,-0.02,0.19,16.81850766
6.43,-11.94,14.08,-0.26,-0.02,0.19,19.54878257
6.12,-0.61,0.31,-0.26,-0.02,0.19,6.158132834
7.35,0.92,3.67,-0.26,-0.02,0.19,8.266668011
12.86,4.29,13.77,-0.28,-0.02,0.2,19.32347277
7.65,-19.28,11.94,-0.28,-0.02,0.2,23.93333449
6.12,-3.37,4.9,-0.28,-0.02,0.2,8.533539711
7.65,12.24,-2.75,-0.28,-0.02,0.2,14.69362447
8.88,4.29,24.79,-0.28,-0.02,0.2,26.67962893
11.63,4.29,21.73,-0.31,-0.02,0.24,25.01707217
18.06,2.45,0.31,-0.31,-0.02,0.24,18.22806079
15.61,88.15,-0.31,-0.31,-0.02,0.24,89.52201238
7.04,25.4,-11.94,-0.31,-0.02,0.24,28.93588084
9.79,0.92,-6.12,-0.31,-0.02,0.24,11.58209394
5.51,34.89,-9.49,-0.31,-0.02,0.24,36.5750229
10.71,23.26,-14.69,-0.31,-0.02,0.24,29.52164968
11.94,17.14,-0.31,-0.31,-0.02,0.24,20.8911297
7.04,14.39,-8.26,-0.33,-0.01,0.26,18.02390912
7.04,16.53,-10.1,-0.33,-0.01,0.26,20.61098008
9.49,11.94,6.12,-0.34,-0.01,0.27,16.43405306
8.26,9.18,-2.45,-0.34,-0.01,0.27,12.5897776
8.57,3.67,2.45,-0.34,-0.01,0.27,9.639310141
7.65,2.75,2.45,-0.34,-0.01,0.27,8.490435796
7.35,1.22,0.61,-0.34,-0.01,0.27,7.475493295
7.04,2.14,0.31,-0.34,-0.01,0.27,7.364597749
7.04,1.84,0.31,-0.34,-0.01,0.27,7.283083138
7.96,0.31,3.06,-0.34,-0.01,0.27,8.533539711
8.26,-0.92,4.59,-0.34,-0.01,0.27,9.494319354
7.96,-1.22,4.29,-0.36,0.02,0.27,9.124368471
8.57,-0.31,4.59,-0.36,0.02,0.27,9.726720927
8.88,1.84,6.73,-0.36,0.02,0.27,11.29304653
10.1,0,7.96,-0.4,0.02,0.31,12.85968895
9.18,2.14,6.43,-0.4,0.02,0.31,11.41038562
8.88,2.75,9.79,-0.4,0.02,0.31,13.5004074
10.71,-55.71,5.82,-0.4,0.02,0.31,-57.02789318
5.2,-7.35,-5.51,-0.4,0.02,0.31,-10.55569041
9.18,4.9,9.49,-0.4,0.02,0.31,14.08341223
6.43,-1.22,12.24,-0.4,0.02,0.31,13.87987392
4.9,8.26,14.08,-0.4,0.02,0.31,17.04359117
6.43,6.73,-0.92,-0.4,0.02,0.31,9.353298883
8.88,6.43,6.12,-0.42,-0.01,0.38,12.55602246
10.41,-16.83,20.51,-0.42,-0.01,0.38,28.50047543
7.65,15.61,-6.43,-0.42,-0.01,0.38,18.53481859
11.94,4.59,12.24,-0.42,-0.01,0.38,17.70449943
7.04,5.2,7.65,-0.43,-0.04,0.44,11.62428923
7.35,-2.75,-1.53,-0.44,-0.04,0.47,7.995367409
8.88,15.92,4.9,-0.44,-0.04,0.47,18.87619665
6.73,-21.12,-5.82,-0.44,-0.04,0.47,-22.91767222
10.41,3.67,1.84,-0.44,-0.04,0.47,11.19029043
12.24,6.43,3.98,-0.44,-0.04,0.47,14.38759535
8.88,10.41,-2.75,-0.44,-0.04,0.47,13.95653969
12.86,-5.2,14.69,-0.44,-0.04,0.47,20.20434854
6.73,12.86,-6.73,-0.44,-0.04,0.47,15.99891871
8.26,4.29,0.31,-0.44,-0.04,0.47,9.31277617
11.63,14.08,-3.67,-0.44,-0.04,0.47,18.6271898
7.65,-10.1,9.79,-0.44,-0.04,0.47,16.01176442
2.45,-34.59,26.02,-0.44,-0.04,0.47,-43.35332744
12.24,16.83,16.53,-0.48,-0.02,0.53,26.57644446
10.41,0,9.79,-0.48,-0.02,0.53,14.29028341
6.73,-6.43,18.36,-0.48,-0.02,0.53,20.5846399
0.61,1.53,9.79,-0.48,-0.02,0.53,9.92759286
13.47,-26.93,44.07,-0.48,-0.02,0.53,53.37443864
5.82,10.41,-15.61,-0.49,-0.01,0.55,19.64465831
7.65,-0.92,-0.61,-0.49,-0.01,0.55,7.729230233
5.82,12.55,0,-0.49,-0.01,0.55,13.83383172
19.59,-48.05,104.98,-0.49,-0.01,0.55,117.1041033
1.84,49.28,-36.42,-0.49,-0.01,0.55,61.30514171
12.55,-4.29,10.71,-0.49,-0.01,0.55,17.04730771
3.37,22.96,-13.77,-0.49,-0.01,0.55,26.98391002
9.18,14.39,-7.04,-0.49,-0.01,0.55,18.46364265
11.63,6.43,-5.51,-0.5,0.01,0.57,14.38617044
7.96,12.24,-10.41,-0.5,0.01,0.57,17.93174002
9.18,5.2,-5.2,-0.5,0.01,0.57,11.7623297
8.57,0.61,-1.53,-0.5,0.01,0.57,8.726849374
8.26,0.92,-2.45,-0.5,0.01,0.57,8.664669642
9.18,-1.22,0.61,-0.5,0.01,0.57,9.280781217
8.88,-3.06,0.92,-0.5,0.01,0.57,9.437393708
7.96,-2.45,-1.84,-0.5,0.01,0.57,8.529343468
7.96,0.92,-1.22,-0.52,0.04,0.54,8.105331579
8.26,0,2.14,-0.52,0.04,0.54,8.532713519
8.57,-1.84,4.59,-0.52,0.04,0.54,9.894372138
8.57,0.61,3.67,-0.52,0.04,0.54,9.342692331
8.57,0.31,3.98,-0.54,0.04,0.59,9.454173682
7.96,0.61,4.9,-0.55,0.01,0.64,9.367160722
9.49,4.59,7.35,-0.55,0.01,0.64,12.85109723
29.69,-17.75,156.4,-0.55,0.01,0.64,160.1796448
8.88,10.1,-7.35,-0.55,0.01,0.64,15.32602036
7.35,4.29,-16.53,-0.55,0.01,0.64,-18.59213543
10.71,0,-7.65,-0.55,0.01,0.64,13.16155766
9.79,13.77,-7.65,-0.55,0.01,0.64,18.54668434
5.51,-21.12,28.16,-0.55,0.01,0.64,35.62864157
5.2,9.79,7.65,-0.55,0.01,0.64,13.46872674
8.57,4.59,0.92,-0.55,0.01,0.64,9.765213771
6.12,-18.36,9.49,-0.55,0.01,0.64,-21.55467699
9.49,-6.43,12.24,-0.5,-0.05,0.72,16.7696929
5.51,12.24,6.73,-0.49,-0.06,0.74,15.01567847
9.49,5.2,-3.06,-0.49,-0.06,0.74,11.24560803
11.02,18.36,5.51,-0.49,-0.06,0.74,22.11085932
9.49,35.5,-11.02,-0.49,-0.06,0.74,38.36340053
23.87,-9.18,0,-0.49,-0.06,0.74,25.57438758
10.71,8.57,-37.95,-0.49,-0.06,0.74,-40.35283757
16.22,-3.37,-1.22,-0.49,-0.06,0.74,16.61125221
3.37,15.61,-3.37,-0.49,-0.06,0.74,16.32133267
8.26,-8.57,2.75,-0.49,-0.06,0.74,12.2161778
14.69,-6.12,7.65,-0.49,-0.06,0.74,17.65709489
7.96,2.75,-10.41,-0.49,-0.05,0.76,13.39000373
31.53,17.14,19.28,-0.5,-0.02,0.77,40.73866591
2.45,-7.04,-26.93,-0.5,-0.02,0.77,-27.94260188
18.06,3.67,1.53,-0.5,-0.02,0.77,18.49252281
1.53,-24.18,-12.55,-0.5,-0.02,0.77,-27.28581683
9.18,-9.18,1.22,-0.5,-0.02,0.77,13.03967791
14.69,-0.92,17.45,-0.51,0,0.78,22.82860048
5.82,0.92,-6.43,-0.51,0,0.78,8.721450567
8.88,7.35,10.1,-0.51,0,0.78,15.32602036
5.51,-7.04,-1.22,-0.51,0,0.78,-9.022754568
7.96,6.43,-4.29,-0.51,0,0.78,11.09552162
10.1,2.75,-3.37,-0.51,0,0.78,10.99679044
9.18,3.98,-17.75,-0.51,0,0.78,-20.3758509
8.88,3.67,7.35,-0.51,0,0.78,12.09734682
9.49,-17.14,18.98,-0.51,0,0.78,27.27783166
14.08,7.35,4.59,-0.51,0,0.78,16.53290658
11.32,4.29,-3.37,-0.51,0,0.78,12.56596196
18.36,13.16,24.18,-0.48,0,0.81,33.08999244
23.87,20.51,-4.29,-0.48,0,0.81,31.76225905
2.45,2.45,-26.63,-0.48,0,0.81,-26.85445773
9.49,2.45,-11.94,-0.48,0,0.81,15.44753055
8.88,8.88,-10.1,-0.48,0,0.81,16.1157935
8.88,6.12,-7.04,-0.48,0,0.81,12.87906829
9.49,4.9,-8.57,-0.48,0,0.81,13.69361165
9.49,7.04,-6.12,-0.48,0,0.81,13.3069944
41.63,8.88,90.6,-0.48,0,0.81,100.1013052
-0.31,39.48,-26.63,-0.48,0,0.81,47.62271937
-13.77,-32.14,-32.14,-0.46,0,0.83,-47.49286367
7.96,-7.35,-17.45,-0.46,0,0.83,-20.53987829
7.04,0.31,-6.12,-0.46,0,0.83,9.333386309
12.24,-1.84,6.43,-0.46,0,0.83,13.94805004
6.73,10.41,-4.29,0,0,0,13.11735873
3.37,-8.88,-9.49,0,0,0,-13.42651854
22.65,-4.59,18.67,0,0,0,29.709586
11.32,4.29,6.43,0,0,0,13.70734839
4.9,-38.57,29.38,0,0,0,-48.73232295
11.63,-2.45,-1.22,0,0,0,11.94771108
8.26,10.41,2.14,0,0,0,13.46013744
6.12,11.63,-12.55,-0.4,0,0.89,18.17178582
12.24,-14.39,0.31,-0.4,0,0.89,-18.89406785
3.67,17.75,-7.96,-0.4,0,0.89,19.79628753
12.55,4.9,-3.06,-0.4,0,0.89,13.81579169
-23.26,-73.46,33.67,-0.4,0,0.89,-84.08964324
-2.45,0.92,2.45,-0.4,0,0.89,3.584884935
7.04,24.18,-14.69,-0.4,0,0.89,29.15527568
15.3,5.2,-6.43,-0.4,0,0.89,17.39180554
26.93,6.73,9.49,-0.4,0,0.89,29.33560806
17.14,-13.47,22.96,-0.4,0,0.89,31.66041851
0.31,-57.24,24.18,-0.33,0,0.9,-62.13844301
0.61,15.61,-14.39,-0.33,0,0.9,21.23949858
11.32,0.31,19.59,-0.33,0,0.9,22.62756284
22.04,37.34,2.14,-0.33,0,0.9,43.41217341
20.51,-21.12,20.51,-0.33,0,0.9,35.88000279
11.02,3.67,-7.35,-0.33,0,0.9,13.74524645
8.88,-13.77,17.45,-0.33,0,0.9,23.93678759
17.14,-4.9,17.45,-0.33,0,0.9,24.94578321
5.51,17.14,-34.28,-0.33,0,0.9,-38.72025439
11.02,1.53,-15.92,-0.32,0,0.9,-19.42235053
7.96,7.96,-21.12,-0.32,0,0.9,-23.93277251
9.49,1.22,-11.94,-0.32,0,0.9,-15.30072221
8.57,4.9,-7.65,-0.32,0,0.9,12.48909124
7.35,6.12,-8.88,-0.32,0,0.9,13.0511034
9.18,0.61,-3.37,-0.3,0.02,0.89,9.798030414
9.18,-0.92,-3.06,-0.3,0.02,0.89,9.720205759
